# file...... csv_output/Transformer_VA_Power.csv
# date...... Tue Jun 19 17:30:07 2018
# user...... Kapil.Duwadi
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A
2014-06-22 03:20:00 PST,+14625.7+0.0954728d
2014-06-22 03:21:00 PST,+14819.1+0.101077d
2014-06-22 03:22:00 PST,+16477+0.106879d
2014-06-22 03:23:00 PST,+15829.7+0.106462d
2014-06-22 03:24:00 PST,+15392.9+0.106225d
2014-06-22 03:25:00 PST,+14771.8+0.103013d
2014-06-22 03:26:00 PST,+14161+0.100002d
2014-06-22 03:27:00 PST,+15151+0.102723d
2014-06-22 03:28:00 PST,+13991.8+0.0971608d
2014-06-22 03:29:00 PST,+14786.8+0.0948022d
2014-06-22 03:30:00 PST,+15223.5+0.0920788d
2014-06-22 03:31:00 PST,+13517.3+0.0779379d
2014-06-22 03:32:00 PST,+13699.4+0.0855777d
2014-06-22 03:33:00 PST,+15124.8+0.0998273d
2014-06-22 03:34:00 PST,+14021.2+0.0928342d
2014-06-22 03:35:00 PST,+13905.7+0.0911801d
2014-06-22 03:36:00 PST,+14418.1+0.0879433d
2014-06-22 03:37:00 PST,+13932.2+0.0751184d
2014-06-22 03:38:00 PST,+13758.6+0.0746172d
2014-06-22 03:39:00 PST,+13275.6+0.0691302d
2014-06-22 03:40:00 PST,+13051.8+0.0689396d
2014-06-22 03:41:00 PST,+11651.1+0.0701757d
2014-06-22 03:42:00 PST,+13366.9+0.0754605d
2014-06-22 03:43:00 PST,+14728.9+0.0860492d
2014-06-22 03:44:00 PST,+14255.3+0.0798297d
2014-06-22 03:45:00 PST,+17163.9+0.102632d
2014-06-22 03:46:00 PST,+16235+0.101288d
2014-06-22 03:47:00 PST,+15875.2+0.0970773d
2014-06-22 03:48:00 PST,+15255.9+0.0888005d
2014-06-22 03:49:00 PST,+14606.7+0.0840174d
2014-06-22 03:50:00 PST,+15094.6+0.0882611d
2014-06-22 03:51:00 PST,+17144+0.109495d
2014-06-22 03:52:00 PST,+17548.2+0.111658d
2014-06-22 03:53:00 PST,+17529.5+0.111551d
2014-06-22 03:54:00 PST,+17705.6+0.117008d
2014-06-22 03:55:00 PST,+17686.8+0.116902d
2014-06-22 03:56:00 PST,+18735.8+0.113984d
2014-06-22 03:57:00 PST,+17603.9+0.112791d
2014-06-22 03:58:00 PST,+18407+0.107599d
2014-06-22 03:59:00 PST,+18043.4+0.107537d
2014-06-22 04:00:00 PST,+18024.7+0.107431d
2014-06-22 04:01:00 PST,+18524.3+0.107967d
2014-06-22 04:02:00 PST,+19683.7+0.12081d
2014-06-22 04:03:00 PST,+18181.7+0.117321d
2014-06-22 04:04:00 PST,+18744.8+0.125811d
2014-06-22 04:05:00 PST,+17996.9+0.12207d
2014-06-22 04:06:00 PST,+17915+0.121612d
2014-06-22 04:07:00 PST,+16924.3+0.117747d
2014-06-22 04:08:00 PST,+16975.3+0.112441d
2014-06-22 04:09:00 PST,+17013.8+0.116539d
2014-06-22 04:10:00 PST,+17299.3+0.11788d
2014-06-22 04:11:00 PST,+15676.6+0.102534d
2014-06-22 04:12:00 PST,+16130.2+0.102d
2014-06-22 04:13:00 PST,+16497+0.101502d
2014-06-22 04:14:00 PST,+17276.5+0.103251d
2014-06-22 04:15:00 PST,+17194.8+0.102786d
2014-06-22 04:16:00 PST,+17640+0.10519d
2014-06-22 04:17:00 PST,+16585.5+0.0952992d
2014-06-22 04:18:00 PST,+16503.9+0.0948387d
2014-06-22 04:19:00 PST,+15323.6+0.0833177d
2014-06-22 04:20:00 PST,+15824.8+0.0880161d
2014-06-22 04:21:00 PST,+14800.7+0.0772574d
2014-06-22 04:22:00 PST,+14266.6+0.0762716d
2014-06-22 04:23:00 PST,+14185.2+0.0758162d
2014-06-22 04:24:00 PST,+14464.4+0.086286d
2014-06-22 04:25:00 PST,+14673.1+0.0855539d
2014-06-22 04:26:00 PST,+14591.5+0.0850909d
2014-06-22 04:27:00 PST,+13389.5+0.0705184d
2014-06-22 04:28:00 PST,+12062.3+0.0567925d
2014-06-22 04:29:00 PST,+10515.5+0.0477555d
2014-06-22 04:30:00 PST,+10130.7+0.0432691d
2014-06-22 04:31:00 PST,+10676.4+0.0491076d
2014-06-22 04:32:00 PST,+10759.6+0.0490359d
2014-06-22 04:33:00 PST,+10682.7+0.0485931d
2014-06-22 04:34:00 PST,+11122.1+0.052713d
2014-06-22 04:35:00 PST,+11207.4+0.0478217d
2014-06-22 04:36:00 PST,+11092.2+0.0427599d
2014-06-22 04:37:00 PST,+11011+0.0423181d
2014-06-22 04:38:00 PST,+10946.7+0.0411467d
2014-06-22 04:39:00 PST,+11120+0.0454243d
2014-06-22 04:40:00 PST,+11627.3+0.0479714d
2014-06-22 04:41:00 PST,+13946+0.0633064d
2014-06-22 04:42:00 PST,+13833.1+0.0631671d
2014-06-22 04:43:00 PST,+14783.9+0.0644159d
2014-06-22 04:44:00 PST,+15428.9+0.0681942d
2014-06-22 04:45:00 PST,+14727.1+0.0610617d
2014-06-22 04:46:00 PST,+15219.1+0.0649334d
2014-06-22 04:47:00 PST,+14028.7+0.0554278d
2014-06-22 04:48:00 PST,+13947.3+0.0549849d
2014-06-22 04:49:00 PST,+13491.3+0.0554828d
2014-06-22 04:50:00 PST,+13868.1+0.0595164d
2014-06-22 04:51:00 PST,+12881.6+0.0599183d
2014-06-22 04:52:00 PST,+12573.8+0.0670185d
2014-06-22 04:53:00 PST,+12277.4+0.0753349d
2014-06-22 04:54:00 PST,+13084.1+0.0722441d
2014-06-22 04:55:00 PST,+12070.9+0.0689763d
2014-06-22 04:56:00 PST,+11989.5+0.0685097d
2014-06-22 04:57:00 PST,+12581.8+0.076127d
